Book_Name,book_id,guten_genre,Author_Name,postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
The Mystery of the Boule Cabinet: A Detective Story,pg10067.epub,Detective and Mystery,Stevenson| Burton Egbert,0.121,0.777,0.102,5048,0.858658798868268,104,68,309,83.4,1
The Pupil,pg1032.epub,Literary,James| Henry,0.154,0.765,0.081,911,0.866100196966474,17,54,127,78.15,3
At Love's Cost,pg10379.epub,Literary,Garvice| Charles,0.17,0.738,0.092,8891,0.864051621726978,201,313,392,90.04,3
The Heart of the Range,pg10473.epub,Western Stories,White| William Patterson,0.113,0.8030000000000000,0.085,8798,0.876325196274515,280,162,408,94.47,6
The Worshipper of the Image,pg10812.epub,Literary,Gallienne| Richard Le,0.172,0.703,0.125,1065,0.864347286790623,19,75,98,79.83,3
The Book-Bills of Narcissus - An Account Rendered by Richard Le Gallienne,pg10826.epub,Literary,Gallienne| Richard Le,0.18,0.748,0.07200000000000000,1115,0.86721430162498,134,27,151,74.0,3
Elusive Isabel,pg10943.epub,Detective and Mystery,Futrelle| Jacques,0.11,0.807,0.083,3074,0.865708607857053,76,108,164,80.02,1
Joe Burke's Last Stand,pg11004.epub,Literary,Wetterau| John Moncure,0.142,0.797,0.061,8799,0.876138513679927,366,155,244,85.74,3
O+F,pg11005.epub,Literary,Wetterau| John Moncure,0.131,0.7980000000000000,0.071,8501,0.872003970030992,253,129,266,85.96,3
Polly and the Princess,pg11259.epub,Literary,Dowd| Emma C.,0.16900000000000000,0.725,0.107,7299,0.872305146267396,173,278,204,95.06,3
Maggie Miller: The Story of Old Hagar's Secret,pg11280.epub,Literary,Holmes| Mary Jane,0.129,0.768,0.102,3049,0.869463313042055,130,424,264,77.32,3
The Obstacle Race,pg11520.epub,Literary,Dell| Ethel M.,0.159,0.725,0.115,10737,0.867949468669103,116,264,351,94.11,3
From out the Vasty Deep,pg11581.epub,Literary,Lowndes| Marie Belloc,0.155,0.7440000000000000,0.10100000000000000,4565,0.877919784833463,94,230,205,81.55,3
Fate Knocks at the Door: A Novel,pg11655.epub,Literary,Comfort| Will Levington,0.158,0.762,0.08,7109,0.862821700485945,236,212,283,79.44,3
The Torrent (Entre Naranjos),pg11674.epub,Literary,Ibez| Vicente Blasco,0.163,0.741,0.096,4914,0.86029037881319,218,189,253,75.45,3
The Jolly Corner,pg1190.epub,Ghost and Horror,James| Henry,0.131,0.7910000000000000,0.078,548,0.847003375347943,11,44,127,74.91,2
The Coxon Fund,pg1193.epub,Literary,James| Henry,0.154,0.752,0.094,1196,0.859719866716526,34,110,102,79.68,3
The Mystery of Monastery Farm,pg11931.epub,Literary,Naylor| H. R.,0.124,0.8340000000000000,0.042,339,0.862451935621258,34,1,40,77.96,3
Wife in Name Only,pg11970.epub,Literary,Brame| Charlotte M.,0.21,0.6890000000000000,0.10100000000000000,5895,0.864680414165123,124,279,256,82.22,3
Darrel of the Blessed Isles,pg12102.epub,Literary,Bacheller| Irving,0.146,0.762,0.092,5625,0.866567076784298,245,163,334,92.8,3
The Adventures of Jimmie Dale,pg1218.epub,Detective and Mystery,Packard| Frank L.,0.09700000000000000,0.8010000000000000,0.102,10285,0.858717382133206,292,131,492,80.23,1
The Story of Bessie Costrell,pg12181.epub,Literary,Ward| Mrs. Humphry,0.098,0.7910000000000000,0.11200000000000000,1649,0.869571041798634,114,117,120,92.03,3
Fated to Be Free: A Novel,pg12303.epub,Literary,Ingelow| Jean,0.156,0.764,0.08,7692,0.874865247255862,287,302,467,79.0,3
Nancy: A Novel,pg12304.epub,Literary,Broughton| Rhoda,0.139,0.7490000000000000,0.11200000000000000,5829,0.869641809937748,142,103,198,81.49,3
The Top of the World,pg12360.epub,Literary,Dell| Ethel M.,0.141,0.7490000000000000,0.11,10987,0.862619839400294,108,354,377,84.7,3
The Reason Why,pg12450.epub,Literary,Glyn| Elinor,0.161,0.746,0.09300000000000000,5904,0.8615256116769360,223,328,347,80.12,3
Miriam Monfort - A Novel,pg12453.epub,Literary,Warfield| Catherine A.,0.159,0.74,0.10100000000000000,7149,0.876889372416802,463,283,416,78.1,3
A Perilous Secret,pg12470.epub,Literary,Reade| Charles,0.16900000000000000,0.718,0.113,6642,0.872673339151077,201,257,408,81.82,3
Deadham Hard: A Romance,pg12520.epub,Literary,Malet| Lucas,0.16700000000000000,0.7290000000000000,0.10400000000000000,8810,0.8807638158019180,325,491,425,68.64,3
A Simple Soul,pg1253.epub,Literary,Flaubert| Gustave,0.08200000000000000,0.836,0.08200000000000000,643,0.837435695763404,49,124,48,75.41,3
A Spinner in the Sun,pg12672.epub,Literary,Reed| Myrtle,0.141,0.7390000000000000,0.12,5115,0.872047769057338,117,254,238,81.32,3
The Autobiography of a Slander,pg1273.epub,Literary,Lyall| Edna,0.17600000000000000,0.706,0.11800000000000000,732,0.870274158670593,59,55,99,77.94,3
