postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.121,0.777,0.102,5048,0.8586587988682679,104,68,309,83.4,2
0.154,0.765,0.081,911,0.8661001969664737,17,54,127,78.15,5
0.17,0.738,0.092,8891,0.8640516217269782,201,313,392,90.04,5
0.113,0.8029999999999999,0.085,8798,0.8763251962745147,280,162,408,94.47,8
0.172,0.703,0.125,1065,0.8643472867906228,19,75,98,79.83,5
0.18,0.748,0.07200000000000001,1115,0.8672143016249796,134,27,151,74.0,5
0.11,0.807,0.083,3074,0.8657086078570531,76,108,164,80.02,2
0.142,0.797,0.061,8799,0.8761385136799273,366,155,244,85.74,5
0.131,0.7979999999999999,0.071,8501,0.8720039700309924,253,129,266,85.96,5
0.16899999999999998,0.725,0.107,7299,0.8723051462673963,173,278,204,95.06,5
0.129,0.768,0.102,3049,0.8694633130420553,130,424,264,77.32,5
0.159,0.725,0.115,10737,0.8679494686691034,116,264,351,94.11,5
0.155,0.7440000000000001,0.10099999999999999,4565,0.8779197848334626,94,230,205,81.55,5
0.158,0.762,0.08,7109,0.8628217004859451,236,212,283,79.44,5
0.163,0.741,0.096,4914,0.8602903788131903,218,189,253,75.45,5
0.131,0.7909999999999999,0.078,548,0.8470033753479428,11,44,127,74.91,3
0.154,0.752,0.094,1196,0.8597198667165258,34,110,102,79.68,5
0.124,0.8340000000000001,0.042,339,0.8624519356212581,34,1,40,77.96,5
0.21,0.6890000000000001,0.10099999999999999,5895,0.8646804141651229,124,279,256,82.22,5
0.146,0.762,0.092,5625,0.8665670767842978,245,163,334,92.8,5
0.09699999999999999,0.8009999999999999,0.102,10285,0.8587173821332063,292,131,492,80.23,2
0.098,0.7909999999999999,0.11199999999999999,1649,0.8695710417986341,114,117,120,92.03,5
0.156,0.764,0.08,7692,0.874865247255862,287,302,467,79.0,5
0.139,0.7490000000000001,0.11199999999999999,5829,0.8696418099377479,142,103,198,81.49,5
0.141,0.7490000000000001,0.11,10987,0.8626198394002943,108,354,377,84.7,5
0.161,0.746,0.09300000000000001,5904,0.8615256116769359,223,328,347,80.12,5
0.159,0.74,0.10099999999999999,7149,0.8768893724168022,463,283,416,78.1,5
0.16899999999999998,0.718,0.113,6642,0.8726733391510765,201,257,408,81.82,5
0.16699999999999998,0.7290000000000001,0.10400000000000001,8810,0.8807638158019179,325,491,425,68.64,5
0.08199999999999999,0.836,0.08199999999999999,643,0.8374356957634039,49,124,48,75.41,5
0.141,0.7390000000000001,0.12,5115,0.8720477690573384,117,254,238,81.32,5
0.17600000000000002,0.706,0.11800000000000001,732,0.8702741586705928,59,55,99,77.94,5
0.114,0.7909999999999999,0.096,10479,0.8711257937084331,436,514,377,69.2,5
0.187,0.7,0.113,1560,0.8688767955409086,75,88,121,81.87,5
0.146,0.755,0.098,5548,0.863384856965827,76,170,250,91.97,5
0.11,0.785,0.106,4670,0.8674638881337976,159,200,189,91.69,5
0.13699999999999998,0.78,0.084,2212,0.8742915041759383,132,121,261,83.25,5
0.11900000000000001,0.7959999999999999,0.085,4243,0.8573310678059411,78,173,274,80.91,5
0.213,0.6940000000000001,0.09300000000000001,1949,0.8654405151852405,65,101,52,91.63,5
0.12300000000000001,0.774,0.10300000000000001,5146,0.8734790032745544,76,148,317,80.5,5
0.136,0.784,0.08,5957,0.8624641533501757,154,311,391,80.49,5
0.14300000000000002,0.746,0.111,8823,0.8700438219874008,130,276,344,84.21,5
0.14400000000000002,0.75,0.106,4220,0.8700475320380816,99,212,290,82.84,5
0.133,0.752,0.115,5907,0.8679000835131124,128,114,279,81.12,5
0.174,0.748,0.078,2057,0.8613466924037103,103,141,122,77.01,5
0.133,0.77,0.09699999999999999,8872,0.8607721302222918,457,388,241,80.22,5
0.125,0.7509999999999999,0.12300000000000001,2812,0.8550213159667484,197,20,148,58.75,5
0.153,0.736,0.111,3489,0.8626338203012498,135,209,295,75.14,5
0.18,0.7240000000000001,0.096,3480,0.8652511812650692,150,174,213,81.27,5
0.134,0.77,0.096,4882,0.8614253523634989,171,102,326,79.91,5
0.155,0.7659999999999999,0.079,449,0.8597149299738818,44,24,57,73.03,1
0.159,0.745,0.096,10375,0.8709061962101057,138,268,366,85.66,6
0.14300000000000002,0.762,0.095,10354,0.8792997292187228,368,422,397,80.62,5
0.141,0.759,0.1,3885,0.8674148755857175,282,180,306,79.96,6
0.13,0.778,0.092,3437,0.8677589211084559,120,173,288,82.34,7
0.132,0.772,0.096,9589,0.8705220558870317,262,198,366,83.43,5
0.114,0.825,0.061,276,0.8489047513522101,24,3,57,80.69,5
0.135,0.747,0.11800000000000001,13197,0.8657122199214293,169,328,455,80.63,5
0.145,0.767,0.087,8651,0.8738488058200603,310,218,460,79.38,5
0.161,0.726,0.11199999999999999,6417,0.8700172808743734,241,264,299,79.83,5
0.149,0.762,0.08900000000000001,5519,0.8672657336782537,163,209,334,82.19,5
0.152,0.769,0.079,5388,0.8620513591223233,370,303,482,69.32,5
0.138,0.769,0.09300000000000001,3258,0.8670024853034892,92,292,229,76.23,5
0.138,0.758,0.105,7575,0.8638172681304592,161,210,192,81.11,5
0.157,0.762,0.081,4730,0.8658497260162967,194,350,251,71.02,5
0.179,0.72,0.102,1717,0.8714917667936609,71,137,163,75.69,5
0.124,0.763,0.113,6360,0.8657571836494029,105,148,453,82.82,5
0.145,0.757,0.098,6973,0.8712508794792286,173,283,433,79.43,5
0.153,0.748,0.099,7665,0.8702358977832958,213,290,345,82.23,5
0.172,0.71,0.11800000000000001,3492,0.8840640320936101,98,258,170,78.6,5
0.168,0.732,0.1,1833,0.8783120310330367,74,143,143,78.68,6
0.114,0.7929999999999999,0.09300000000000001,5386,0.8599541103585396,108,101,348,78.39,5
0.152,0.75,0.098,10189,0.8783805437521921,273,353,459,82.89,5
0.16,0.74,0.099,6173,0.8742597027694704,168,286,354,83.55,5
0.132,0.767,0.10099999999999999,3983,0.8759194919400418,147,183,210,79.66,5
