postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.121,0.777,0.102,5048,0.858658798868268,104,68,309,83.4,1
0.154,0.765,0.081,911,0.866100196966474,17,54,127,78.15,3
0.17,0.738,0.092,8891,0.864051621726978,201,313,392,90.04,3
0.113,0.8030000000000000,0.085,8798,0.876325196274515,280,162,408,94.47,6
0.172,0.703,0.125,1065,0.864347286790623,19,75,98,79.83,3
0.18,0.748,0.07200000000000000,1115,0.86721430162498,134,27,151,74.0,3
0.11,0.807,0.083,3074,0.865708607857053,76,108,164,80.02,1
0.142,0.797,0.061,8799,0.876138513679927,366,155,244,85.74,3
0.131,0.7980000000000000,0.071,8501,0.872003970030992,253,129,266,85.96,3
0.16900000000000000,0.725,0.107,7299,0.872305146267396,173,278,204,95.06,3
0.129,0.768,0.102,3049,0.869463313042055,130,424,264,77.32,3
0.159,0.725,0.115,10737,0.867949468669103,116,264,351,94.11,3
0.155,0.7440000000000000,0.10100000000000000,4565,0.877919784833463,94,230,205,81.55,3
0.158,0.762,0.08,7109,0.862821700485945,236,212,283,79.44,3
0.163,0.741,0.096,4914,0.86029037881319,218,189,253,75.45,3
0.131,0.7910000000000000,0.078,548,0.847003375347943,11,44,127,74.91,2
0.154,0.752,0.094,1196,0.859719866716526,34,110,102,79.68,3
0.124,0.8340000000000000,0.042,339,0.862451935621258,34,1,40,77.96,3
0.21,0.6890000000000000,0.10100000000000000,5895,0.864680414165123,124,279,256,82.22,3
0.146,0.762,0.092,5625,0.866567076784298,245,163,334,92.8,3
0.09700000000000000,0.8010000000000000,0.102,10285,0.858717382133206,292,131,492,80.23,1
0.098,0.7910000000000000,0.11200000000000000,1649,0.869571041798634,114,117,120,92.03,3
0.156,0.764,0.08,7692,0.874865247255862,287,302,467,79.0,3
0.139,0.7490000000000000,0.11200000000000000,5829,0.869641809937748,142,103,198,81.49,3
0.141,0.7490000000000000,0.11,10987,0.862619839400294,108,354,377,84.7,3
0.161,0.746,0.09300000000000000,5904,0.8615256116769360,223,328,347,80.12,3
0.159,0.74,0.10100000000000000,7149,0.876889372416802,463,283,416,78.1,3
0.16900000000000000,0.718,0.113,6642,0.872673339151077,201,257,408,81.82,3
0.16700000000000000,0.7290000000000000,0.10400000000000000,8810,0.8807638158019180,325,491,425,68.64,3
0.08200000000000000,0.836,0.08200000000000000,643,0.837435695763404,49,124,48,75.41,3
0.141,0.7390000000000000,0.12,5115,0.872047769057338,117,254,238,81.32,3
0.17600000000000000,0.706,0.11800000000000000,732,0.870274158670593,59,55,99,77.94,3
0.114,0.7910000000000000,0.096,10479,0.871125793708433,436,514,377,69.2,3
0.187,0.7,0.113,1560,0.868876795540909,75,88,121,81.87,3
0.146,0.755,0.098,5548,0.863384856965827,76,170,250,91.97,3
0.11,0.785,0.106,4670,0.867463888133798,159,200,189,91.69,3
0.13700000000000000,0.78,0.084,2212,0.874291504175938,132,121,261,83.25,3
0.11900000000000000,0.7960000000000000,0.085,4243,0.857331067805941,78,173,274,80.91,3
0.213,0.6940000000000000,0.09300000000000000,1949,0.865440515185241,65,101,52,91.63,3
0.12300000000000000,0.774,0.10300000000000000,5146,0.873479003274554,76,148,317,80.5,3
0.136,0.784,0.08,5957,0.862464153350176,154,311,391,80.49,3
0.14300000000000000,0.746,0.111,8823,0.870043821987401,130,276,344,84.21,3
0.14400000000000000,0.75,0.106,4220,0.870047532038082,99,212,290,82.84,3
0.133,0.752,0.115,5907,0.867900083513112,128,114,279,81.12,3
0.174,0.748,0.078,2057,0.86134669240371,103,141,122,77.01,3
0.133,0.77,0.09700000000000000,8872,0.860772130222292,457,388,241,80.22,3
0.125,0.7510000000000000,0.12300000000000000,2812,0.855021315966748,197,20,148,58.75,3
0.153,0.736,0.111,3489,0.86263382030125,135,209,295,75.14,3
0.18,0.7240000000000000,0.096,3480,0.865251181265069,150,174,213,81.27,3
0.134,0.77,0.096,4882,0.861425352363499,171,102,326,79.91,3
0.155,0.7660000000000000,0.079,449,0.859714929973882,44,24,57,73.03,0
0.159,0.745,0.096,10375,0.870906196210106,138,268,366,85.66,4
0.14300000000000000,0.762,0.095,10354,0.879299729218723,368,422,397,80.62,3
0.141,0.759,0.1,3885,0.867414875585718,282,180,306,79.96,4
0.13,0.778,0.092,3437,0.867758921108456,120,173,288,82.34,5
0.132,0.772,0.096,9589,0.870522055887032,262,198,366,83.43,3
0.114,0.825,0.061,276,0.84890475135221,24,3,57,80.69,3
0.135,0.747,0.11800000000000000,13197,0.865712219921429,169,328,455,80.63,3
0.145,0.767,0.087,8651,0.87384880582006,310,218,460,79.38,3
0.161,0.726,0.11200000000000000,6417,0.870017280874373,241,264,299,79.83,3
0.149,0.762,0.08900000000000000,5519,0.867265733678254,163,209,334,82.19,3
0.152,0.769,0.079,5388,0.862051359122323,370,303,482,69.32,3
0.138,0.769,0.09300000000000000,3258,0.867002485303489,92,292,229,76.23,3
0.138,0.758,0.105,7575,0.863817268130459,161,210,192,81.11,3
0.157,0.762,0.081,4730,0.865849726016297,194,350,251,71.02,3
0.179,0.72,0.102,1717,0.871491766793661,71,137,163,75.69,3
0.124,0.763,0.113,6360,0.865757183649403,105,148,453,82.82,3
0.145,0.757,0.098,6973,0.871250879479229,173,283,433,79.43,3
0.153,0.748,0.099,7665,0.870235897783296,213,290,345,82.23,3
0.172,0.71,0.11800000000000000,3492,0.8840640320936100,98,258,170,78.6,3
0.168,0.732,0.1,1833,0.878312031033037,74,143,143,78.68,4
0.114,0.7930000000000000,0.09300000000000000,5386,0.85995411035854,108,101,348,78.39,3
0.152,0.75,0.098,10189,0.878380543752192,273,353,459,82.89,3
0.16,0.74,0.099,6173,0.87425970276947,168,286,354,83.55,3
0.132,0.767,0.10100000000000000,3983,0.875919491940042,147,183,210,79.66,3
0.162,0.737,0.10100000000000000,9538,0.871721076916414,119,334,289,85.85,3
0.12,0.7980000000000000,0.08200000000000000,4465,0.838153156844953,645,154,302,61.35,3
0.147,0.785,0.068,5118,0.8618267001402,106,240,264,82.94,3
0.133,0.7660000000000000,0.10100000000000000,4433,0.858574421257034,79,165,154,80.69,3
0.149,0.747,0.10400000000000000,3791,0.875173826600024,369,184,296,77.32,3
0.15,0.75,0.1,5668,0.862427288650965,125,107,260,85.37,3
0.187,0.6860000000000000,0.126,1164,0.874212839232134,66,58,62,81.34,3
0.184,0.695,0.121,1285,0.863737100098117,45,93,66,91.0,3
0.213,0.691,0.096,1473,0.86327419342548,43,154,89,80.69,3
0.171,0.6940000000000000,0.135,1397,0.850712257371343,26,92,50,90.82,3
0.159,0.735,0.106,2326,0.86558194341341,130,213,174,74.84,3
0.14300000000000000,0.7610000000000000,0.096,6656,0.859932732616149,360,452,456,85.1,3
0.172,0.746,0.081,10204,0.873766780156719,385,434,397,80.32,3
0.172,0.726,0.102,319,0.85892199539105,23,3,13,90.73,3
0.124,0.7910000000000000,0.085,7441,0.858595222047795,329,478,506,85.24,3
0.158,0.762,0.08,4888,0.874437986203173,140,143,355,71.26,3
0.18100000000000000,0.74,0.079,10228,0.87715909080489,463,319,486,80.79,3
0.122,0.757,0.122,10030,0.872381591087157,331,333,387,83.49,3
0.165,0.742,0.092,6110,0.872464529604287,132,141,303,82.91,3
0.156,0.7290000000000000,0.115,10237,0.879733364186112,402,366,479,81.12,3
0.126,0.7880000000000000,0.086,5603,0.870951572107889,167,129,390,81.32,3
0.16700000000000000,0.736,0.09700000000000000,13216,0.870894741988059,347,400,493,80.51,3
0.14300000000000000,0.764,0.09300000000000000,1590,0.86014498490627,45,92,122,82.22,3
0.168,0.731,0.10100000000000000,4238,0.874985201255209,237,192,350,76.57,3
0.158,0.752,0.091,1440,0.864391560945242,91,120,184,74.3,2
0.124,0.785,0.091,3847,0.860859670718329,138,181,280,75.57,2
0.157,0.721,0.122,7169,0.876846735478521,227,235,181,84.08,2
0.185,0.727,0.08800000000000000,1359,0.860462328648748,40,97,113,83.21,0
0.179,0.7340000000000000,0.08800000000000000,8525,0.871219334806415,347,283,396,68.91,2
0.193,0.716,0.091,2445,0.854351051842383,135,66,75,87.63,2
0.157,0.71,0.133,3343,0.8660109103682030,102,146,154,82.4,2
0.13700000000000000,0.759,0.10400000000000000,9886,0.861929365913584,384,382,316,78.29,2
0.15,0.726,0.124,10754,0.868257854815224,325,371,376,82.67,2
0.14400000000000000,0.77,0.086,9338,0.868301869008395,261,293,342,79.54,2
0.161,0.721,0.11800000000000000,10964,0.869952771382468,184,491,369,85.08,2
0.115,0.807,0.078,5208,0.861423253906657,300,355,320,88.98,2
0.14400000000000000,0.777,0.079,3459,0.849581274826445,119,123,242,78.39,2
0.157,0.763,0.08,8643,0.870080630782651,337,383,530,80.66,2
0.134,0.762,0.105,3218,0.864198824646668,140,83,334,73.28,2
0.153,0.735,0.11200000000000000,4713,0.874510536141146,125,163,351,68.79,2
0.161,0.73,0.109,5785,0.863853211913983,93,222,201,92.46,2
0.16900000000000000,0.6890000000000000,0.142,1161,0.860406848641066,43,49,101,75.3,2
0.126,0.784,0.08900000000000000,8120,0.8684181060805040,274,215,308,81.57,2
0.128,0.7810000000000000,0.091,7557,0.86365960075525,175,318,502,76.7,2
0.16700000000000000,0.721,0.111,2935,0.864177462846253,114,173,118,69.74,2
0.179,0.73,0.091,5115,0.8688196765200240,232,180,255,82.27,2
0.157,0.742,0.10100000000000000,9107,0.877513097038473,205,365,344,82.19,3
0.124,0.804,0.07200000000000000,7560,0.866193863943714,317,107,272,91.39,2
0.195,0.6940000000000000,0.111,1141,0.885016192677063,152,118,172,75.35,2
0.162,0.742,0.096,6234,0.873526192541386,196,150,339,82.94,2
0.136,0.76,0.10400000000000000,5821,0.875656781905656,318,376,486,79.32,2
0.13700000000000000,0.731,0.132,3358,0.860626801445965,69,192,273,75.58,2
0.159,0.741,0.1,4356,0.876453380929356,143,211,342,80.36,2
0.14800000000000000,0.75,0.10300000000000000,4971,0.871966845236639,150,217,369,70.77,2
0.16,0.746,0.094,772,0.86629101904114,31,42,74,83.01,2
0.141,0.759,0.10100000000000000,7025,0.853428724447462,178,259,443,75.12,2
0.152,0.754,0.094,5141,0.862104880805342,282,156,452,79.82,2
0.098,0.797,0.105,4243,0.85346865411813,110,103,184,82.06,2
0.136,0.77,0.094,5152,0.871813058255877,229,347,234,78.18,2
0.122,0.773,0.10400000000000000,10935,0.871673967920116,230,339,468,82.1,2
0.152,0.745,0.102,4348,0.882391337578524,157,204,119,81.34,2
0.133,0.779,0.08800000000000000,8578,0.87271615645634,190,301,256,83.93,2
0.188,0.672,0.141,5851,0.866551127068136,217,195,405,77.96,2
0.17,0.727,0.10300000000000000,5534,0.874692876225259,352,294,285,84.14,2
0.107,0.78,0.113,2352,0.867425108140642,72,71,160,82.76,1
0.152,0.733,0.115,6177,0.878361835565594,125,142,301,94.75,2
0.124,0.7960000000000000,0.081,7253,0.873861939506241,103,110,274,82.96,1
0.16700000000000000,0.7510000000000000,0.08200000000000000,8132,0.8702122932518140,223,405,363,79.56,2
0.151,0.741,0.10800000000000000,6148,0.8568550518566740,242,118,339,80.59,4
0.172,0.7390000000000000,0.08800000000000000,2908,0.869777343855108,145,222,228,79.49,2
0.17600000000000000,0.69,0.134,2070,0.881076819956962,272,112,320,76.84,2
0.147,0.731,0.122,4176,0.880332073431546,405,133,288,77.38,2
0.139,0.759,0.102,7368,0.872347122004002,233,267,457,78.22,2
0.13700000000000000,0.775,0.08800000000000000,4622,0.87069463499487,234,186,340,64.36,2
0.127,0.777,0.096,1086,0.859878095214573,91,34,105,65.53,2
0.153,0.752,0.095,11246,0.866215708577989,262,324,462,81.48,2
0.159,0.7510000000000000,0.09,6927,0.849879105505734,113,155,217,84.84,3
0.155,0.754,0.091,2306,0.860581206998674,84,54,74,84.5,2
0.115,0.772,0.113,8121,0.864988344579566,159,209,309,81.5,2
0.138,0.743,0.11900000000000000,8155,0.878095847154404,287,174,334,80.83,2
0.145,0.741,0.114,5501,0.860162991935541,69,246,280,84.96,2
0.106,0.789,0.105,4083,0.870605689512595,109,180,285,72.62,2
0.135,0.757,0.10800000000000000,10141,0.869249717088013,214,313,481,78.96,1
0.141,0.777,0.08200000000000000,1695,0.861890938087312,83,117,51,82.13,2
0.14300000000000000,0.7660000000000000,0.091,10857,0.8627470102763270,241,533,255,82.31,2
0.11900000000000000,0.762,0.12,11017,0.861585971689804,363,148,404,80.8,2
0.14,0.775,0.084,13838,0.864589532498623,210,374,422,81.81,2
0.122,0.774,0.10400000000000000,5960,0.8467962618767,120,137,378,88.3,2
0.10800000000000000,0.7880000000000000,0.10400000000000000,3441,0.872168878283687,159,44,252,77.96,2
0.151,0.7810000000000000,0.068,6262,0.863202622742869,158,264,268,91.65,2
0.14400000000000000,0.772,0.084,2158,0.86080481888935,93,113,147,78.36,2
0.18100000000000000,0.727,0.091,5002,0.8745974528493180,102,153,201,80.29,2
0.149,0.755,0.096,1726,0.853266401557897,36,129,163,75.0,2
0.146,0.7560000000000000,0.098,6077,0.867467648365709,232,143,358,82.52,5
0.16400000000000000,0.74,0.09700000000000000,4256,0.877668545805429,297,243,274,79.81,2
0.14,0.78,0.081,4872,0.882996553405209,223,267,350,83.56,2
0.14,0.773,0.087,4048,0.879040037926967,87,202,208,82.32,2
0.10800000000000000,0.789,0.10300000000000000,2590,0.857053578886666,58,92,199,78.71,1
0.11700000000000000,0.7440000000000000,0.139,885,0.851949245734909,38,19,83,77.44,1
0.11900000000000000,0.794,0.08800000000000000,4442,0.8655525399187540,154,138,320,79.3,2
0.11,0.785,0.105,1104,0.860846265054715,31,40,79,79.23,1
0.128,0.762,0.11,1215,0.851608636955714,26,10,98,78.78,1
0.132,0.777,0.09,944,0.850034577243832,26,14,106,79.3,1
0.133,0.7760000000000000,0.091,1232,0.85820381136143,37,68,145,88.84,2
0.136,0.76,0.10400000000000000,5091,0.870811889368234,107,178,235,82.95,2
0.18600000000000000,0.72,0.095,10142,0.878553957195777,352,308,513,81.36,2
0.155,0.745,0.1,6528,0.868498818788983,236,150,311,83.27,5
0.166,0.722,0.11200000000000000,6709,0.870826852392624,173,285,293,82.72,2
0.14,0.789,0.071,3466,0.87205317163448,133,148,233,81.69,2
0.149,0.757,0.094,7363,0.868851267778247,116,116,200,84.04,1
0.136,0.762,0.10300000000000000,3518,0.858375975013622,52,86,340,76.75,1
0.14,0.753,0.107,3315,0.870524299551704,195,208,198,80.88,2
0.133,0.758,0.109,5567,0.870602553383572,101,188,429,79.43,1
